tick	event	player	target
256	pass	player=2	target=(400.373,57.313)
257	heartbeat	-	-
257	pass	player=2	target=(398.455,60.823)
258	heartbeat	-	-
258	pass	player=2	target=(397.015,57.091)
259	heartbeat	-	-
259	pass	player=2	target=(395.112,60.609)
260	heartbeat	-	-
260	pass	player=2	target=(395.915,56.690)
261	heartbeat	-	-
261	pass	player=2	target=(392.325,58.454)
262	heartbeat	-	-
262	pass	player=2	target=(392.005,54.467)
263	heartbeat	-	-
263	pass	player=2	target=(389.847,57.835)
264	heartbeat	-	-
264	pass	player=2	target=(389.020,53.922)
265	heartbeat	-	-
265	pass	player=2	target=(387.277,57.522)
266	heartbeat	-	-
266	pass	player=2	target=(385.536,57.873)
267	heartbeat	-	-
267	pass	player=2	target=(385.867,60.649)
268	heartbeat	-	-
268	pass	player=2	target=(384.100,57.061)
269	heartbeat	-	-
269	pass	player=2	target=(381.287,59.905)
270	heartbeat	-	-
270	pass	player=2	target=(381.570,55.915)
271	heartbeat	-	-
271	pass	player=2	target=(378.173,58.027)
272	heartbeat	-	-
272	pass	player=2	target=(378.794,54.491)
273	heartbeat	-	-
273	pass	player=2	target=(377.590,58.306)
274	heartbeat	-	-
274	pass	player=2	target=(374.941,61.302)
275	heartbeat	-	-
275	pass	player=2	target=(377.531,58.255)
276	heartbeat	-	-
276	pass	player=2	target=(373.773,59.625)
277	heartbeat	-	-
277	pass	player=2	target=(371.364,56.757)
278	heartbeat	-	-
278	pass	player=2	target=(373.160,60.331)
279	heartbeat	-	-
279	pass	player=2	target=(370.294,57.541)
280	heartbeat	-	-
280	pass	player=2	target=(366.701,55.783)
281	heartbeat	-	-
281	pass	player=2	target=(368.357,59.425)
282	heartbeat	-	-
282	pass	player=2	target=(364.671,57.871)
283	heartbeat	-	-
283	pass	player=2	target=(364.230,56.129)
284	heartbeat	-	-
284	pass	player=2	target=(363.707,60.095)
285	heartbeat	-	-
285	pass	player=2	target=(360.753,57.397)
286	heartbeat	-	-
286	pass	player=2	target=(361.646,61.260)
287	heartbeat	-	-
287	pass	player=2	target=(359.015,58.247)
288	heartbeat	-	-
288	pass	player=2	target=(358.835,61.418)
289	heartbeat	-	-
289	pass	player=2	target=(357.685,57.587)
290	heartbeat	-	-
290	pass	player=2	target=(355.190,60.714)
291	heartbeat	-	-
291	pass	player=2	target=(355.099,56.715)
292	heartbeat	-	-
292	pass	player=2	target=(353.955,60.548)
293	heartbeat	-	-
293	pass	player=2	target=(352.046,57.033)
294	heartbeat	-	-
294	pass	player=2	target=(352.339,61.022)
295	heartbeat	-	-
295	pass	player=2	target=(350.123,57.692)
296	heartbeat	-	-
296	pass	player=2	target=(346.129,57.459)
297	heartbeat	-	-
297	pass	player=2	target=(349.804,57.710)
298	heartbeat	-	-
298	pass	player=2	target=(346.073,59.154)
299	heartbeat	-	-
299	pass	player=2	target=(342.731,58.619)
300	heartbeat	-	-
300	pass	player=2	target=(346.026,60.885)
301	heartbeat	-	-
301	pass	player=2	target=(342.346,59.318)
302	heartbeat	-	-
302	pass	player=2	target=(340.730,59.384)
303	heartbeat	-	-
303	pass	player=2	target=(338.802,55.879)
304	heartbeat	-	-
304	pass	player=2	target=(338.438,59.862)
305	heartbeat	-	-
305	pass	player=2	target=(336.046,56.657)
306	heartbeat	-	-
306	pass	player=2	target=(334.598,58.803)
307	heartbeat	-	-
307	pass	player=2	target=(334.635,54.803)
308	heartbeat	-	-
308	pass	player=2	target=(331.309,57.024)
309	heartbeat	-	-
309	pass	player=2	target=(331.366,58.495)
310	heartbeat	-	-
310	pass	player=2	target=(329.331,59.662)
311	heartbeat	-	-
311	pass	player=2	target=(328.885,55.687)
312	heartbeat	-	-
312	pass	player=2	target=(327.917,59.568)
313	heartbeat	-	-
313	pass	player=2	target=(325.110,56.719)
314	heartbeat	-	-
314	pass	player=2	target=(325.894,60.641)
315	heartbeat	-	-
315	pass	player=2	target=(322.552,58.443)
316	heartbeat	-	-
316	pass	player=2	target=(322.571,62.443)
317	heartbeat	-	-
317	pass	player=2	target=(320.934,58.793)
318	heartbeat	-	-
318	pass	player=2	target=(319.626,62.573)
319	heartbeat	-	-
319	pass	player=2	target=(318.811,58.657)
320	heartbeat	-	-
320	pass	player=2	target=(316.928,62.187)
321	heartbeat	-	-
321	pass	player=2	target=(318.426,58.478)
322	heartbeat	-	-
322	pass	player=2	target=(314.909,60.384)
323	heartbeat	-	-
323	pass	player=2	target=(314.667,56.392)
324	heartbeat	-	-
324	pass	player=2	target=(312.794,59.926)
325	heartbeat	-	-
325	pass	player=2	target=(311.427,59.844)
326	heartbeat	-	-
326	pass	player=2	target=(308.455,61.093)
327	heartbeat	-	-
327	pass	player=2	target=(310.608,57.722)
328	heartbeat	-	-
328	pass	player=2	target=(307.569,60.322)
329	heartbeat	-	-
329	pass	player=2	target=(303.848,58.855)
330	heartbeat	-	-
330	pass	player=2	target=(306.406,61.930)
331	heartbeat	-	-
331	pass	player=2	target=(302.914,59.979)
332	heartbeat	-	-
332	pass	player=2	target=(301.959,63.864)
333	heartbeat	-	-
333	pass	player=2	target=(302.350,59.883)
334	heartbeat	-	-
334	pass	player=2	target=(300.897,63.610)
335	heartbeat	-	-
335	pass	player=2	target=(298.166,60.687)
336	heartbeat	-	-
336	pass	player=2	target=(300.013,64.235)
337	heartbeat	-	-
337	pass	player=2	target=(296.998,61.606)
338	heartbeat	-	-
338	pass	player=2	target=(293.643,59.429)
339	heartbeat	-	-
339	pass	player=2	target=(294.006,63.412)
340	heartbeat	-	-
340	pass	player=2	target=(292.170,59.859)
341	heartbeat	-	-
341	pass	player=2	target=(292.433,63.850)
342	heartbeat	-	-
342	pass	player=2	target=(289.078,61.672)
343	heartbeat	-	-
343	pass	player=2	target=(291.985,64.420)
344	heartbeat	-	-
344	pass	player=2	target=(288.577,62.326)
345	heartbeat	-	-
345	pass	player=2	target=(284.628,62.961)
346	heartbeat	-	-
346	pass	player=2	target=(287.863,60.608)
347	heartbeat	-	-
347	pass	player=2	target=(284.713,63.074)
348	heartbeat	-	-
348	pass	player=2	target=(280.719,62.843)
349	heartbeat	-	-
349	pass	player=2	target=(284.250,60.963)
350	heartbeat	-	-
350	pass	player=2	target=(280.301,61.599)
351	heartbeat	-	-
351	pass	player=2	target=(276.377,62.376)
352	heartbeat	-	-
352	pass	player=2	target=(280.376,62.449)
353	heartbeat	-	-
353	pass	player=2	target=(276.391,62.105)
354	heartbeat	-	-
354	pass	player=2	target=(272.404,61.790)
355	heartbeat	-	-
355	pass	player=2	target=(276.148,60.384)
356	heartbeat	-	-
356	pass	player=2	target=(273.027,62.886)
357	heartbeat	-	-
357	pass	player=2	target=(269.938,65.427)
358	heartbeat	-	-
358	pass	player=2	target=(271.009,61.573)
359	heartbeat	-	-
359	pass	player=2	target=(269.401,65.235)
360	heartbeat	-	-
360	pass	player=2	target=(268.834,62.447)
361	heartbeat	-	-
361	pass	player=2	target=(266.868,65.930)
362	heartbeat	-	-
362	pass	player=2	target=(267.167,61.941)
363	heartbeat	-	-
363	pass	player=2	target=(264.599,65.008)
364	heartbeat	-	-
364	pass	player=2	target=(262.384,61.678)
365	heartbeat	-	-
365	pass	player=2	target=(262.605,65.672)
366	heartbeat	-	-
366	pass	player=2	target=(260.144,62.518)
367	heartbeat	-	-
367	pass	player=2	target=(260.452,66.506)
368	heartbeat	-	-
368	pass	player=2	target=(258.081,63.285)
369	heartbeat	-	-
369	pass	player=2	target=(255.592,66.417)
370	heartbeat	-	-
370	pass	player=2	target=(258.183,63.369)
371	heartbeat	-	-
371	pass	player=2	target=(254.585,65.117)
372	heartbeat	-	-
372	pass	player=2	target=(250.630,64.518)
373	heartbeat	-	-
373	pass	player=2	target=(253.905,66.816)
374	heartbeat	-	-
374	pass	player=2	target=(250.205,65.296)
375	heartbeat	-	-
375	pass	player=2	target=(249.784,65.770)
376	heartbeat	-	-
376	pass	player=2	target=(246.292,63.820)
377	heartbeat	-	-
377	pass	player=2	target=(248.492,67.161)
378	heartbeat	-	-
378	pass	player=2	target=(244.754,65.737)
379	heartbeat	-	-
379	pass	player=2	target=(246.116,67.409)
380	heartbeat	-	-
380	pass	player=2	target=(242.316,66.161)
381	heartbeat	-	-
381	pass	player=2	target=(244.849,69.257)
382	heartbeat	-	-
382	pass	player=2	target=(241.819,66.646)
383	heartbeat	-	-
383	pass	player=2	target=(237.857,66.093)
384	heartbeat	-	-
384	pass	player=2	target=(241.407,67.936)
385	heartbeat	-	-
385	pass	player=2	target=(237.652,66.557)
386	heartbeat	-	-
386	pass	player=2	target=(235.283,69.780)
387	heartbeat	-	-
387	pass	player=2	target=(236.962,66.149)
388	heartbeat	-	-
388	pass	player=2	target=(233.996,68.833)
389	heartbeat	-	-
389	pass	player=2	target=(230.773,68.892)
390	heartbeat	-	-
390	pass	player=2	target=(233.738,69.663)
391	heartbeat	-	-
391	pass	player=2	target=(229.790,69.020)
392	heartbeat	-	-
392	pass	player=2	target=(226.262,68.099)
393	heartbeat	-	-
393	pass	player=2	target=(230.149,67.155)
394	heartbeat	-	-
394	pass	player=2	target=(226.727,69.227)
395	heartbeat	-	-
395	pass	player=2	target=(224.167,70.498)
396	heartbeat	-	-
396	pass	player=2	target=(224.095,66.499)
397	heartbeat	-	-
397	pass	player=2	target=(222.494,70.164)
398	heartbeat	-	-
398	pass	player=2	target=(219.399,67.630)
399	heartbeat	-	-
399	pass	player=2	target=(221.585,70.980)
400	heartbeat	-	-
400	pass	player=2	target=(218.549,68.375)
401	heartbeat	-	-
401	pass	player=2	target=(216.713,71.838)
402	heartbeat	-	-
402	pass	player=2	target=(216.604,67.840)
403	heartbeat	-	-
403	pass	player=2	target=(216.378,71.834)
404	heartbeat	-	-
404	pass	player=2	target=(214.375,68.371)
405	heartbeat	-	-
406	heartbeat	-	-
406	pass	player=2	target=(210.185,64.982)
407	heartbeat	-	-
407	pass	player=0	target=(454.554,479.018)
407	pass	player=0	target=(210.065,429.247)
408	heartbeat	-	-
409	heartbeat	-	-
410	heartbeat	-	-
411	heartbeat	-	-
412	heartbeat	-	-
413	heartbeat	-	-
414	heartbeat	-	-
415	heartbeat	-	-
416	heartbeat	-	-
417	heartbeat	-	-
418	heartbeat	-	-
419	heartbeat	-	-
420	heartbeat	-	-
421	heartbeat	-	-
422	heartbeat	-	-
423	heartbeat	-	-
424	heartbeat	-	-
425	heartbeat	-	-
426	heartbeat	-	-
427	heartbeat	-	-
428	heartbeat	-	-
429	heartbeat	-	-
429	pass	player=3	target=(196.108,137.486)
430	heartbeat	-	-
431	heartbeat	-	-
432	heartbeat	-	-
433	heartbeat	-	-
434	heartbeat	-	-
435	heartbeat	-	-
436	heartbeat	-	-
437	heartbeat	-	-
438	heartbeat	-	-
439	heartbeat	-	-
440	heartbeat	-	-
441	heartbeat	-	-
442	heartbeat	-	-
443	heartbeat	-	-
444	heartbeat	-	-
445	heartbeat	-	-
446	heartbeat	-	-
447	heartbeat	-	-
448	heartbeat	-	-
449	heartbeat	-	-
450	heartbeat	-	-
451	heartbeat	-	-
452	heartbeat	-	-
453	heartbeat	-	-
454	heartbeat	-	-
455	heartbeat	-	-
456	heartbeat	-	-
457	heartbeat	-	-
458	heartbeat	-	-
459	heartbeat	-	-
460	heartbeat	-	-
461	heartbeat	-	-
462	heartbeat	-	-
463	heartbeat	-	-
464	heartbeat	-	-
465	heartbeat	-	-
466	heartbeat	-	-
467	heartbeat	-	-
468	heartbeat	-	-
469	heartbeat	-	-
470	heartbeat	-	-
471	heartbeat	-	-
472	heartbeat	-	-
473	heartbeat	-	-
474	heartbeat	-	-
475	heartbeat	-	-
476	heartbeat	-	-
477	heartbeat	-	-
478	heartbeat	-	-
479	heartbeat	-	-
480	heartbeat	-	-
481	heartbeat	-	-
482	heartbeat	-	-
483	heartbeat	-	-
484	heartbeat	-	-
485	heartbeat	-	-
486	heartbeat	-	-
487	heartbeat	-	-
488	heartbeat	-	-
489	heartbeat	-	-
490	heartbeat	-	-
491	heartbeat	-	-
492	heartbeat	-	-
493	heartbeat	-	-
494	heartbeat	-	-
495	heartbeat	-	-
496	heartbeat	-	-
497	heartbeat	-	-
498	heartbeat	-	-
499	heartbeat	-	-
500	heartbeat	-	-
501	heartbeat	-	-
502	heartbeat	-	-
503	heartbeat	-	-
504	heartbeat	-	-
505	heartbeat	-	-
506	heartbeat	-	-
507	heartbeat	-	-
508	heartbeat	-	-
509	heartbeat	-	-
510	heartbeat	-	-
511	heartbeat	-	-
